Age,Height,Weight,BMI,Gender
50,167,78,27.97,1
52,159,83,32.83,1
2,96,18,19.53,0
12,165,38,13.96,0
89,170,68,23.53,0
31,179,77,24.03,1
10,111,31,25.16,0
12,152,42,18.18,0
64,169,69,24.16,1
4,87,18,23.78,1
10,132,24,13.77,0
6,136,31,16.76,0
52,183,74,22.1,1
89,180,74,22.84,0
32,188,90,25.46,1
5,95,13,14.4,0
20,157,68,27.59,1
3,90,19,23.46,1
13,161,51,19.68,1
36,176,64,20.66,0
48,179,75,23.41,0
25,163,55,20.7,1
84,171,83,28.38,1
50,181,84,25.64,1
19,176,50,16.14,1
32,177,89,28.41,0
10,121,21,14.34,0
36,187,68,19.45,1
7,133,26,14.7,1
17,173,69,23.05,0
81,165,81,29.75,1
15,157,47,19.07,1
50,179,88,27.46,1
70,155,60,24.97,1
50,157,83,33.67,0
51,167,73,26.18,1
2,86,19,25.69,0
28,168,81,28.7,0
87,158,84,33.65,0
62,173,64,21.38,1
60,170,87,30.1,1
89,156,70,28.76,0
17,161,62,23.92,1
52,168,61,21.61,1
39,182,77,23.25,0
50,162,65,24.77,0
17,162,65,24.77,0
73,156,78,32.05,0
5,107,13,11.35,1
4,107,18,15.72,1
44,181,79,24.11,0
10,134,22,12.25,0
4,85,11,15.22,0
6,124,33,21.46,0
3,101,18,17.65,1
60,160,72,28.12,1
38,187,69,19.73,1
86,155,62,25.81,1
7,120,32,22.22,0
54,172,79,26.7,0
19,156,52,21.37,0
11,151,49,21.49,0
12,157,35,14.2,0
12,158,36,14.42,0
19,162,75,28.58,1
48,173,86,28.73,0
9,127,35,21.7,0
85,153,74,31.61,0
55,162,77,29.34,1
46,180,82,25.31,1
12,160,40,15.62,1
16,173,61,20.38,0
15,158,48,19.23,0
18,174,51,16.85,1
9,137,20,10.66,0
18,157,67,27.18,1
18,160,57,22.27,0
3,96,15,16.28,1
32,186,82,23.7,1
4,102,13,12.5,1
2,105,14,12.7,0
64,174,67,22.13,0
20,177,73,23.3,1
45,175,69,22.53,1
8,122,23,15.45,0
7,115,31,23.44,0
6,120,22,15.28,1
81,163,74,27.85,0
6,121,31,21.17,1
43,172,75,25.35,1
58,176,86,27.76,0
6,135,20,10.97,1
5,88,15,19.37,0
13,144,38,18.33,1
29,179,72,22.47,1
49,184,72,21.27,1
54,180,70,21.6,0
65,169,77,26.96,0
5,97,12,12.75,1
20,167,68,24.38,1
42,185,71,20.75,1
10,116,27,20.07,0
41,161,60,23.15,1
89,174,55,18.17,0
42,164,76,28.26,0
4,88,20,25.83,0
17,175,52,16.98,0
64,156,59,24.24,1
11,158,55,22.03,1
42,178,73,23.04,0
55,184,81,23.92,1
18,173,55,18.38,1
78,159,81,32.04,1
66,167,85,30.48,0
6,126,34,21.42,0
30,176,56,18.08,1
17,175,65,21.22,0
7,138,22,11.55,1
31,162,89,33.91,0
12,149,45,20.27,1
6,113,27,21.14,0
10,137,28,14.92,0
24,166,62,22.5,0
19,167,55,19.72,0
18,170,69,23.88,1
42,157,62,25.15,0
12,161,55,21.22,0
47,178,67,21.15,1
2,94,18,20.37,0
75,172,75,25.35,0
2,108,10,8.57,1
15,141,53,26.66,0
6,117,29,21.18,1
82,161,70,27.01,0
11,165,52,19.1,1
39,165,77,28.28,1
45,183,64,19.11,1
60,181,71,21.67,1
11,143,42,20.54,0
9,140,28,14.29,1
61,160,82,32.03,0
4,94,19,21.5,0
47,185,87,25.42,0
64,165,58,21.3,1
58,171,92,31.46,1
14,141,50,25.15,0
55,162,89,33.91,0
75,162,70,26.67,1
15,155,40,16.65,1
19,177,73,23.3,1
52,185,89,26.0,0
8,137,27,14.39,0
72,178,68,21.46,0
16,161,65,25.08,0
22,172,76,25.69,0
2,107,15,13.1,1
19,166,75,27.22,1
2,103,19,17.91,1
52,156,61,25.07,1
43,175,73,23.84,0
3,100,17,17.0,0
42,155,79,32.88,0
11,149,35,15.77,0
87,154,73,30.78,1
81,173,61,20.38,1
17,160,69,26.95,0
18,174,62,20.48,0
72,166,69,25.04,1
19,164,54,20.08,0
61,163,74,27.85,1
4,92,11,13.0,1
43,155,68,28.3,1
64,171,59,20.18,0
13,149,53,23.87,1
2,93,19,21.97,0
11,160,54,21.09,0
14,161,35,13.5,0
9,124,23,14.96,1
14,162,35,13.34,0
35,185,55,16.07,0
7,128,33,20.14,0
42,178,79,24.93,1
52,183,89,26.58,1
11,146,36,16.89,1
6,120,30,20.83,0
54,172,63,21.3,1
11,150,35,15.56,0
7,137,20,10.66,0
77,180,72,22.22,1
2,92,15,17.72,0
38,172,87,29.41,1
52,159,90,35.6,1
13,161,53,20.45,0
42,163,61,22.96,0
21,186,63,18.21,1
3,103,20,18.85,1
9,117,23,16.8,1
34,189,79,22.12,1
10,112,33,26.31,0
46,172,82,27.72,0
62,180,63,19.44,1
14,156,48,19.72,1
64,159,81,32.04,1
19,157,51,20.69,0
48,155,82,34.13,0
77,176,70,22.6,1
2,96,14,15.19,0
59,174,67,22.13,0
8,134,30,16.71,1
9,126,31,19.53,1
22,173,80,26.73,1
9,124,28,18.21,1
10,136,20,10.81,1
57,177,76,24.26,1
14,146,35,16.42,1
14,148,47,21.46,1
82,152,76,32.89,0
5,92,20,23.63,0
7,128,32,19.53,1
4,90,11,13.58,1
38,166,71,25.77,0
5,85,14,19.38,0
18,160,56,21.87,1
7,133,32,18.09,0
51,172,78,26.37,0
10,130,22,13.02,1
70,170,83,28.72,0
28,184,84,24.81,0
70,165,55,20.2,1
7,133,25,14.13,0
17,171,74,25.31,0
3,92,13,15.36,1
54,160,64,25.0,0
9,129,32,19.23,0
53,164,85,31.6,1
76,179,59,18.41,1
60,181,65,19.84,1
4,94,15,16.98,1
12,163,47,17.69,1
18,156,53,21.78,1
23,165,68,24.98,1
72,169,57,19.96,0
39,183,61,18.21,1
4,85,17,23.53,1
6,111,29,23.54,1
79,154,66,27.83,0
12,158,48,19.23,1
45,174,82,27.08,0
9,124,34,22.11,0
4,90,13,16.05,0
35,162,68,25.91,1
62,178,78,24.62,1
68,157,83,33.67,1
71,171,82,28.04,1
2,96,19,20.62,0
5,106,17,15.13,0
41,180,79,24.38,1
9,138,22,11.55,0
13,142,36,17.85,0
2,107,11,9.61,1
28,190,76,21.05,0
18,167,55,19.72,0
57,157,67,27.18,0
25,178,68,21.46,0
6,129,33,19.83,0
9,114,30,23.08,1
19,156,60,24.65,1
12,153,41,17.51,1
11,164,51,18.96,0
60,181,63,19.23,0
39,174,86,28.41,0
68,150,81,36.0,0
33,187,76,21.73,1
59,172,95,32.11,1
2,103,19,17.91,1
56,182,61,18.42,1
73,165,64,23.51,1
22,165,73,26.81,1
2,110,18,14.88,0
82,176,73,23.57,1
9,136,24,12.98,1
8,120,29,20.14,1
35,162,86,32.77,0
14,158,51,20.43,0
15,161,42,16.2,0
15,158,55,22.03,0
61,151,81,35.52,1
14,164,55,20.45,0
3,109,17,14.31,0
6,118,20,14.36,1
3,102,10,9.61,0
49,172,93,31.44,1
14,147,35,16.2,0
15,153,54,23.07,0
20,162,64,24.39,1
20,167,75,26.89,1
26,184,71,20.97,1
56,156,85,34.93,0
11,165,52,19.1,0
23,168,83,29.41,1
19,170,58,20.07,1
15,147,52,24.06,0
72,151,73,32.02,1
68,153,58,24.78,1
20,164,67,24.91,0
19,172,70,23.66,0
12,164,50,18.59,1
69,156,81,33.28,1
4,107,18,15.72,0
12,164,35,13.01,1
13,153,53,22.64,0
